algorithm,country,target,MAE,RMSE,MAPE,order
ARIMA,CAN,exports_total,0.151334,0.173647,0.6274,"(2, 0, 2)"
ARIMA,CAN,exports_commodities,0.140322,0.162562,0.6262,"(2, 1, 3)"
ARIMA,CAN,exports_manufactured_goods,0.42606,0.450555,1.8177,"(3, 0, 3)"
ARIMA,CAN,exports_high-tech,0.54066,0.584404,2.3606,"(3, 0, 3)"
ARIMA,CAN,imports_total,0.27518,0.285136,1.1318,"(3, 0, 3)"
ARIMA,CAN,imports_commodities,0.150854,0.167797,0.6407,"(2, 0, 2)"
ARIMA,CAN,imports_manufactured_goods,0.267128,0.283079,1.1416,"(3, 0, 3)"
ARIMA,CAN,imports_high-tech,0.776752,0.870989,3.4792,"(3, 0, 3)"
ARIMA,MEX,exports_total,0.095006,0.124605,0.3952,"(1, 0, 2)"
ARIMA,MEX,exports_commodities,0.196591,0.221567,0.8696,"(2, 0, 1)"
ARIMA,MEX,exports_manufactured_goods,0.112073,0.133528,0.485,"(1, 0, 2)"
ARIMA,MEX,exports_high-tech,0.173772,0.197825,0.7539,"(1, 0, 2)"
ARIMA,MEX,imports_total,0.440085,0.458851,1.8012,"(3, 0, 3)"
ARIMA,MEX,imports_commodities,0.172278,0.212009,0.7695,"(0, 0, 2)"
ARIMA,MEX,imports_manufactured_goods,0.357737,0.375374,1.5117,"(2, 0, 2)"
ARIMA,MEX,imports_high-tech,0.718102,0.783784,3.0479,"(3, 0, 3)"
ARIMA,BRA,exports_total,0.239547,0.260446,1.0838,"(2, 0, 3)"
ARIMA,BRA,exports_commodities,0.599748,0.690423,2.9213,"(3, 0, 2)"
ARIMA,BRA,exports_manufactured_goods,0.308682,0.329055,1.4692,"(3, 0, 3)"
ARIMA,BRA,exports_high-tech,0.123509,0.151003,0.5816,"(3, 1, 3)"
ARIMA,BRA,imports_total,0.714684,0.797018,3.247,"(3, 0, 2)"
ARIMA,BRA,imports_commodities,0.135199,0.170586,0.6334,"(2, 0, 1)"
ARIMA,BRA,imports_manufactured_goods,0.411367,0.460126,1.968,"(3, 0, 2)"
ARIMA,BRA,imports_high-tech,0.116339,0.153379,0.5806,"(3, 0, 2)"
