algorithm,country,target,MAE,RMSE,MAPE,n_estimators,max_depth
RandomForest,CAN,exports_total,0.212858,0.219615,0.8827,160,17
RandomForest,CAN,exports_commodities,0.161114,0.189644,0.7163,173,16
RandomForest,CAN,exports_manufactured_goods,0.208687,0.214359,0.8902,254,7
RandomForest,CAN,exports_high-tech,0.204606,0.213259,0.8931,411,17
RandomForest,CAN,imports_total,0.212263,0.221303,0.8726,326,9
RandomForest,CAN,imports_commodities,0.242128,0.261859,1.0268,408,4
RandomForest,CAN,imports_manufactured_goods,0.131469,0.142348,0.5615,380,7
RandomForest,CAN,imports_high-tech,0.222327,0.239254,0.9958,264,9
RandomForest,MEX,exports_total,0.20061,0.213543,0.8342,487,6
RandomForest,MEX,exports_commodities,0.158755,0.181075,0.7,472,17
RandomForest,MEX,exports_manufactured_goods,0.197449,0.211547,0.8543,111,17
RandomForest,MEX,exports_high-tech,0.17388,0.195443,0.7542,493,20
RandomForest,MEX,imports_total,0.244922,0.258591,1.0021,275,6
RandomForest,MEX,imports_commodities,0.190684,0.206632,0.8526,262,9
RandomForest,MEX,imports_manufactured_goods,0.305672,0.323951,1.2913,546,17
RandomForest,MEX,imports_high-tech,0.273533,0.29628,1.1608,266,13
RandomForest,BRA,exports_total,0.136667,0.17434,0.6151,283,6
RandomForest,BRA,exports_commodities,0.233794,0.36486,1.1117,576,3
RandomForest,BRA,exports_manufactured_goods,0.174706,0.201303,0.8304,366,7
RandomForest,BRA,exports_high-tech,0.176806,0.211733,0.8271,163,16
RandomForest,BRA,imports_total,0.306733,0.330178,1.3938,481,8
RandomForest,BRA,imports_commodities,0.320523,0.339174,1.5012,395,6
RandomForest,BRA,imports_manufactured_goods,0.258061,0.278402,1.2345,243,13
RandomForest,BRA,imports_high-tech,0.143504,0.166184,0.7116,310,7
